PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P_pct,FTM,FTA,FT_pct,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,Change
Jonathan Isaac,ORL,21,70,33,37,26.7,9.5,3.5,8.1,43,1.1,3.4,32,1.5,1.8,81.7,1.3,4.2,5.4,1.1,1,0.8,1.3,1.9,22.8,3,0,0
Nemanja Bjelica,SAC,30,71,36,35,23.4,9.5,3.6,7.7,47.3,1.3,3.3,40.1,0.9,1.2,75.9,1.7,4.3,6,2,1.1,0.7,0.8,2.6,23,9,0,1.7
Tony Parker,CHA,36,56,30,26,17.9,9.5,3.8,8.3,46,0.2,0.9,25.5,1.6,2.2,73.4,0.3,1.2,1.5,3.7,1.3,0.4,0.1,0.9,16.9,1,0,0.3
Kevin Huerter,ATL,20,69,25,44,27.2,9.5,3.6,8.6,41.3,1.8,4.7,37.8,0.6,0.8,74.1,0.8,2.5,3.2,2.8,1.5,0.9,0.3,2.1,19.6,1,0,-1.3
Gerald Green,HOU,33,69,44,25,20.6,9.4,3.2,8,40.1,2.1,6.1,35.2,0.8,1,83.8,0.4,2.1,2.6,0.6,0.8,0.5,0.4,1.7,15.1,0,0,2.1
Malik Monk,CHA,21,65,30,35,17.3,9.4,3.2,8.4,38.7,1.6,4.6,33.4,1.4,1.5,89.8,0.2,1.5,1.7,1.6,1.3,0.5,0.2,1.5,14.8,0,0,-0.9
Al-Farouq Aminu,POR,28,74,47,27,28.6,9.4,3.2,7.2,44.3,1.2,3.5,35,1.8,2.1,85.7,1.4,6.1,7.5,1.3,0.9,0.9,0.4,1.8,23.2,9,0,4.8
Larry Nance Jr.,CLE,26,61,16,45,26.2,9.3,3.7,7,52.7,0.5,1.4,34.9,1.5,2.1,70.9,2.5,5.3,7.8,3.1,1.4,1.5,0.6,2.9,28.2,14,0,-4.7
Shabazz Napier,BKN,27,55,25,30,17.3,9.3,2.9,7.6,38.8,1.3,3.9,32.6,2.1,2.5,83.3,0.3,1.5,1.7,2.5,1.2,0.7,0.3,1.2,17,1,0,0
Robin Lopez,CHI,30,68,19,49,21.3,9.3,4,7,56.7,0.1,0.4,24,1.2,1.6,73,1.9,2,3.9,1.2,1.3,0.2,1.1,1.8,18,2,0,-1.2
Terry Rozier,BOS,25,72,42,30,23,9.2,3.4,8.6,39.1,1.5,4.4,35.2,0.9,1.2,78.8,0.4,3.5,4,2.9,0.8,0.9,0.3,1.3,21.1,1,0,0.2
JaMychal Green,LAC,28,61,28,33,21,9.2,3.5,7.2,47.7,1,2.6,39.2,1.2,1.6,79.2,1.6,4.7,6.3,0.8,1.4,0.7,0.5,3,20.2,5,0,-3.7
Landry Shamet,LAC,22,73,48,25,22.3,9.1,3,6.9,43.4,2.1,4.9,42.4,1,1.2,83.5,0.2,1.4,1.6,1.3,0.5,0.5,0.1,2,14.3,0,0,1.1
Alec Burks,SAC,27,62,19,43,22,9,3.1,7.6,40.5,1,2.7,36.3,1.9,2.3,82.3,0.5,3.3,3.7,2,1,0.6,0.3,1.5,18.4,1,0,-4.9
Jalen Brunson,DAL,22,67,23,44,21.3,9,3.5,7.5,47.2,0.9,2.4,36.2,1.1,1.5,73,0.4,1.9,2.3,2.9,1.2,0.5,0.1,1.7,16.7,1,0,-0.9
Rondae Hollis-Jefferson,BKN,24,57,26,31,21,9,3.4,8.1,41.6,0.2,0.8,19.1,2.1,3.2,65.2,1.3,3.8,5.1,1.6,1.1,0.7,0.5,1.8,20,3,0,-0.5
Marcus Smart,BOS,25,74,44,30,27.6,8.9,3,7.1,42.3,1.6,4.3,36.3,1.3,1.6,80.2,0.7,2.3,3,4.1,1.5,1.8,0.4,2.5,23.4,1,0,2.2
Tomas Satoransky,WAS,27,74,31,43,26.9,8.9,3.2,6.6,49.1,0.8,2,39.3,1.6,1.9,82.5,1,2.5,3.5,4.9,1.5,1,0.2,2.2,22.7,7,1,-0.9
Ish Smith,DET,30,49,30,19,22.4,8.9,3.6,8.7,41.6,0.8,2.5,33.9,0.8,1,76.5,0.4,2.2,2.6,3.6,1.1,0.6,0.2,1.9,18.6,0,0,2.4
Rajon Rondo,LAL,33,41,16,25,29.3,8.8,3.6,9,40.6,1,2.8,36,0.5,0.7,66.7,0.7,4.4,5.2,7.7,2.7,1.1,0.1,2.3,27.5,12,1,-4.8
Ivica Zubac,LAC,22,53,29,24,17.2,8.7,3.5,6.4,54.9,0,0,0,1.7,2.1,80.5,2,4,6,1.1,1.2,0.2,0.8,2.4,19.5,7,0,0.9
Trey Lyles,DEN,23,59,40,19,17.8,8.7,3.3,7.9,41.6,0.8,3.1,24.9,1.3,1.9,70,0.7,3.2,3.9,1.4,1.1,0.5,0.4,1.5,16.9,0,0,0.1
Kyle Korver,UTA,38,69,38,31,19.1,8.6,2.9,6.9,41.9,2,5,39.8,0.8,1,81.7,0.1,2.2,2.3,1.1,0.8,0.4,0.2,1.5,13.9,0,0,1.6
Bam Adebayo,MIA,21,75,37,38,23,8.6,3.3,5.7,57.2,0,0.1,9.1,2.1,2.8,73.1,2,5.1,7.1,2.3,1.5,0.8,0.8,2.5,23.9,9,0,0.5
Rodions Kurucs,BKN,21,57,32,25,20.8,8.5,3.2,7,46.3,0.9,2.8,33.1,1.2,1.5,78.8,0.8,2.9,3.8,0.8,1.2,0.7,0.4,2.4,16.3,2,0,0.3
Langston Galloway,DET,27,73,38,35,21.7,8.5,2.9,7.2,40,1.7,4.7,36.7,1,1.1,84.3,0.6,1.5,2.1,1.1,0.3,0.5,0.1,1.7,13.9,0,0,0.7
Norman Powell,TOR,25,54,40,14,18.7,8.4,3.1,6.6,47.5,1.1,2.8,38.4,1.1,1.3,82.6,0.3,2,2.3,1.5,1.1,0.6,0.2,1.6,14.9,0,0,-0.2
Noah Vonleh,NYK,23,68,13,55,25.3,8.4,3,6.5,47,0.7,2,33.6,1.6,2.3,71.2,1.7,6.1,7.8,1.9,1.3,0.7,0.8,2.6,23.5,18,0,-4.3
Austin Rivers,HOU,26,70,40,30,27,8.3,3.1,7.6,40.9,1.4,4.3,31.9,0.7,1.3,52.7,0.4,1.8,2.2,2.2,0.9,0.6,0.3,2.8,16.1,0,0,1.3
Darius Miller,NOP,29,69,31,38,25.5,8.2,2.7,7,39,1.9,5.3,36.5,0.8,1,78.9,0.2,1.7,1.9,2.1,0.9,0.6,0.3,2.4,15.5,0,0,0.2
Markelle Fultz,ORL,20,19,12,7,22.5,8.2,3.4,8.2,41.9,0.2,0.7,28.6,1.1,1.9,56.8,1.4,2.3,3.7,3.1,1.3,0.9,0.3,2.7,19.4,0,0,-0.4
Frank Jackson,NOP,20,61,22,39,19.2,8.1,3.2,7.3,43.4,0.9,2.8,31.4,0.9,1.2,74,0.4,1.8,2.2,1.1,0.8,0.4,0,1.5,13,0,0,-2.2
Mario Hezonja,NYK,24,54,11,43,19.9,8.1,3,7.5,39.8,0.7,2.5,27.7,1.4,1.8,75.5,0.5,3.3,3.8,1.2,1.3,0.9,0.1,1.8,16.3,0,0,-4.1
DeAndre' Bembry,ATL,24,75,27,48,23.7,8.1,3.3,7.4,44,0.6,2.1,29.3,0.9,1.5,61.9,0.6,3.6,4.3,2.5,1.7,1.3,0.5,2.3,20.5,2,0,-2.8
Mikal Bridges,PHX,22,76,17,59,28.8,8.1,2.8,6.6,42.9,1.3,3.8,33.3,1.1,1.4,79.2,0.7,2.5,3.2,2.1,0.9,1.6,0.4,2.4,20.4,0,0,-4.7
Kyle Anderson,MEM,25,43,19,24,29.8,8,3.5,6.4,54.3,0.2,0.8,26.5,0.9,1.5,57.8,1.1,4.7,5.8,3,1.3,1.3,0.9,2.6,24.5,2,1,-1.4
Richaun Holmes,PHX,25,68,15,53,16.5,8,3.1,5,60.8,0,0,0,1.9,2.5,73.8,1.6,2.9,4.6,0.8,0.8,0.6,1.1,2.7,19.2,4,0,-2.6
Davis Bertans,SAS,26,70,40,30,21.5,8,2.7,5.9,45,2,4.5,44.1,0.7,0.8,87,0.3,3.2,3.6,1.3,0.5,0.4,0.5,1.8,16.4,0,0,3.5
Delon Wright,MEM,26,68,42,26,21.3,7.9,3,7,42.8,0.6,2.1,28.4,1.3,1.6,81.7,0.9,2.2,3.1,2.9,1,1.1,0.4,1.3,19.2,1,0,0.2
James Johnson,MIA,32,48,25,23,21.2,7.9,3,7,43.2,1,2.7,35.4,0.9,1.3,70.5,0.4,2.9,3.3,2.3,1.3,0.7,0.5,2.1,17.7,0,0,-2.1
Rodney McGruder,MIA,27,63,31,32,23.9,7.9,2.9,7.1,40.7,1.3,3.5,35.6,0.8,1.1,74.3,0.9,2.7,3.6,1.7,1,0.6,0.2,1.8,16,2,0,-0.8
Garrett Temple,LAC,32,69,34,35,27.8,7.8,2.8,6.7,41.5,1.2,3.6,33.5,1,1.4,74.2,0.4,2.6,2.9,1.4,0.9,1,0.4,2.7,16.8,0,0,-1.6
Josh Hart,LAL,24,67,31,36,25.6,7.8,2.8,6.9,40.7,1.4,4.1,33.6,0.8,1.2,68.8,0.5,3.2,3.7,1.4,0.9,1,0.6,2.2,18.2,4,0,0
Mason Plumlee,DEN,29,74,50,24,20.7,7.8,3.2,5.3,60.2,0,0.1,25,1.4,2.5,56,2,4.3,6.3,2.9,1.6,0.8,0.9,3,23.2,8,0,1.4
Josh Okogie,MIN,20,66,29,37,23.4,7.7,2.7,6.9,38.3,0.8,3,27.3,1.6,2.2,72.4,0.6,2.4,3,1.2,1,1.1,0.5,2.3,16.9,1,0,-0.3
Isaiah Thomas,DEN,30,10,6,4,14.7,7.7,2.8,7.7,36.4,0.9,3.4,26.5,1.2,1.9,63.2,0.5,0.7,1.2,1.7,1.7,0.3,0.1,1.4,11.2,0,0,-2.7
Patrick Beverley,LAC,30,75,45,30,27.6,7.7,2.5,6.1,41.2,1.4,3.5,40.2,1.3,1.6,78.5,1,4,5,3.8,1,0.9,0.6,3.4,22.7,6,0,1.7
Shelvin Mack,CHA,28,56,22,34,22.1,7.6,2.9,7.1,40.6,0.8,2.3,35.4,1,1.5,69.5,0.3,1.5,1.9,3.3,1.1,0.8,0.1,1.5,16.3,0,0,-4.1
Iman Shumpert,HOU,28,58,35,23,24.1,7.6,2.7,7.3,37.4,1.6,4.4,35,0.6,0.7,82.9,0.5,2.6,3.1,1.9,0.8,1,0.4,2.1,17.5,0,0,-1.3
Dillon Brooks,MEM,23,18,9,9,18.3,7.5,2.7,6.8,40.2,0.8,2.2,37.5,1.2,1.7,73.3,0.5,1.2,1.7,0.9,1.1,0.6,0.2,2.8,12.2,0,0,-0.9
Frank Kaminsky,CHA,25,39,18,21,14.7,7.5,2.6,5.6,46.6,0.9,2.6,35.3,1.3,1.8,72.2,0.9,2.3,3.2,1.3,0.8,0.2,0.2,1.3,13.6,1,0,0.2
Ante Zizic,CLE,22,53,13,40,18.4,7.4,3,5.5,53.6,0,0,0,1.5,2.1,71.4,1.7,3.6,5.4,0.8,1,0.2,0.4,2,16,3,0,-1
Vince Carter,ATL,42,70,24,46,17.2,7.4,2.6,6.1,43.2,1.7,4.1,40.8,0.5,0.8,67.3,0.4,2.1,2.5,1.1,0.6,0.6,0.3,1.9,14.2,0,0,-2.2
Jake Layman,POR,25,63,40,23,18.5,7.4,3,5.8,51,0.8,2.6,32.7,0.6,0.9,71.4,0.8,2.3,3.1,0.7,0.7,0.4,0.5,1.6,14.3,1,0,1
Seth Curry,POR,28,68,44,24,18.2,7.4,2.7,5.9,45.5,1.4,3.2,44.9,0.6,0.7,85.7,0.4,1.2,1.6,0.9,0.8,0.5,0.2,1.4,11.7,0,0,1.5
Jahlil Okafor,NOP,23,54,22,32,14.6,7.4,3.2,5.6,57.5,0,0.1,0,0.9,1.4,65.4,1.3,3.1,4.4,0.6,0.8,0.2,0.7,1.6,15.5,5,0,-2.5
PJ Tucker,HOU,33,76,48,28,34.7,7.3,2.5,6.4,39.8,1.8,4.7,37.8,0.5,0.7,67.3,1.5,4.5,6,1.2,0.8,1.7,0.5,3.1,21.9,3,0,2.2
Dorian Finney-Smith,DAL,25,75,29,46,24.7,7.3,2.7,6.3,43.4,1,3,32,0.9,1.3,70.4,1.7,3,4.7,1.1,0.9,0.9,0.5,2.3,17.8,1,0,-1.4
Willy Hernangomez,CHA,24,52,28,24,14.2,7.3,2.7,5.1,53.2,0.3,0.7,44.1,1.6,2.3,66.9,2.1,3.5,5.5,1,1,0.2,0.4,1.8,16.3,4,0,-1.4
Antonio Blakeney,CHI,22,54,14,40,14.4,7.3,2.9,6.9,41.8,0.6,1.6,41.7,0.9,1.3,67.6,0.1,1.7,1.8,0.7,0.6,0.2,0.2,0.7,11,0,0,-2.8
Maurice Harkless,POR,25,53,32,21,23.1,7.3,3,6.2,47.9,0.6,2,29.2,0.7,1.1,66.7,1.2,3.1,4.3,1.2,0.7,1.1,0.8,2.7,19.2,1,0,3.7
Lance Stephenson,LAL,28,64,31,33,16.1,7.2,2.7,6.3,43.4,1,2.8,37.5,0.8,1.1,69,0.5,2.6,3,2.1,1.3,0.6,0.1,1.6,14.9,0,0,-1.9
Derrick Jones Jr.,MIA,22,55,29,26,19.1,7.2,2.8,5.6,49,0.5,1.6,31.5,1.2,2,59.6,1.7,2.4,4.1,0.6,0.7,0.8,0.7,2.1,16.8,0,0,-0.1
Bruno Caboclo,MEM,23,27,11,16,22.1,7.1,2.5,5.9,42.1,1.2,3.4,34.4,1,1.2,81.8,1.3,3,4.3,1.3,1,0.4,0.9,2.3,17.1,2,0,0.4
Luol Deng,MIN,33,22,11,11,17.8,7.1,2.7,5.4,50,0.6,2,31.8,1.1,1.6,71.4,0.9,2.4,3.3,0.8,0.6,0.7,0.4,1.1,14.8,0,0,4
OG Anunoby,TOR,21,64,44,20,20.3,7.1,2.8,6.1,45.6,1,3,33.8,0.5,0.9,56.7,0.9,2.1,3,0.7,0.8,0.7,0.3,2.1,14,0,0,-0.7
Draymond Green,GSW,29,59,42,17,31.4,7.1,2.7,6.3,43.5,0.7,2.5,27.4,1,1.4,67.9,0.9,6.4,7.3,6.9,2.6,1.4,1,3.2,31,7,0,5.6
Joakim Noah,MEM,34,42,14,28,16.5,7.1,2.6,5.1,51.6,0,0,0,1.9,2.6,71.6,1.4,4.3,5.7,2.1,1.2,0.5,0.7,2.3,19.5,4,0,0.1
Miles Bridges,CHA,21,72,34,38,20,7.1,2.8,6.1,46,0.8,2.4,32.4,0.7,1,73.9,0.8,3.1,3.9,1,0.6,0.7,0.6,1.4,16.3,1,0,-1
Boban Marjanovic,PHI,30,51,28,23,11.5,7.1,2.6,4.3,61.3,0,0.1,33.3,1.8,2.4,75,1.5,3,4.5,0.8,1,0.3,0.5,1.6,14.8,6,0,0
Doug McDermott,IND,27,70,40,30,17.1,7.1,2.6,5.2,48.9,1.1,2.7,40.4,0.9,1,84.5,0.2,1.2,1.4,0.8,0.6,0.2,0.1,1.3,10.4,0,0,2.1
Harry Giles III,SAC,20,58,26,32,14.1,7,3,6,50.3,0,0.1,0,1,1.6,63.7,1.1,2.7,3.8,1.5,1.3,0.5,0.4,2.6,15.3,0,0,-1.8
Maxi Kleber,DAL,27,66,27,39,21,7,2.5,5.5,46,1.1,3.1,35.4,0.8,1.1,80,1.3,3.3,4.5,1,0.8,0.5,1.1,2,18,3,0,0.8
Michael Kidd-Gilchrist,CHA,25,58,27,31,18.9,7,2.6,5.4,48.2,0.2,0.7,29.3,1.6,2.1,76.9,1.5,2.5,4,0.9,0.7,0.5,0.7,2.5,15.9,1,0,-0.8
Michael Beasley,LAL,30,26,11,15,10.7,7,2.9,5.9,49,0.1,0.7,17.6,1.1,1.5,71.8,0.5,1.8,2.3,1,1,0.3,0.4,1.6,12.3,0,0,-1.5
Mitchell Robinson,NYK,20,59,13,46,19.2,6.9,2.9,4.3,68.1,0,0,0,1.1,1.9,57.9,2.7,3.3,5.9,0.5,0.5,0.7,2.4,3.3,23.9,9,0,-2.6
George Hill,MIL,32,54,36,18,21.4,6.9,2.6,5.9,44.3,0.7,2.4,31.5,0.9,1.1,83.6,0.6,1.7,2.4,2.2,0.8,0.9,0.1,1.7,15.3,0,0,3
Dante Exum,UTA,23,42,21,21,15.8,6.9,2.4,5.7,41.9,0.4,1.5,29,1.6,2,79.1,0.4,1.2,1.6,2.6,1.2,0.3,0.1,1.6,12.8,1,0,1.1
James Ennis III,PHI,28,55,34,21,21.4,6.9,2.4,5.1,48,1,2.7,35.3,1,1.4,74.7,1,2,3,0.6,0.6,0.7,0.4,2.6,14.2,0,0,-0.2
Wayne Selden,CHI,24,69,26,43,18.9,6.8,2.6,6.2,41.1,0.7,2.3,32.7,1,1.3,74.4,0.5,1.7,2.2,1.4,1,0.4,0.2,1.8,12.5,1,0,-3.3
Ersan Ilyasova,MIL,31,62,47,15,18.1,6.8,2.5,5.6,45,0.9,2.3,37.9,0.9,1.1,83.3,1.5,2.9,4.4,0.8,0.7,0.5,0.3,2.5,15.1,3,0,4.1
Stanley Johnson,NOP,22,64,28,36,18.2,6.8,2.5,6.6,38.6,0.9,3.3,28.6,0.7,1,77,0.5,2.8,3.3,1.3,1.2,0.9,0.2,1.7,15,0,0,-2.5
Terrance Ferguson,OKC,20,67,39,28,26.1,6.8,2.5,5.9,42,1.4,3.9,36.3,0.4,0.6,70,0.4,1.4,1.8,0.9,0.6,0.6,0.2,3.2,12.2,0,0,2.6
David Nwaba,CLE,26,45,14,31,19.3,6.7,2.5,5.1,49.3,0.5,1.6,34.3,1.2,1.8,66.3,0.8,2.3,3.1,1,0.5,0.7,0.4,2.1,14.7,0,0,0
JR Smith,CLE,33,11,1,10,20.2,6.7,2.5,7.2,34.2,1.1,3.5,30.8,0.7,0.9,80,0,1.6,1.6,1.9,1,1,0.3,1.7,14.4,0,0,-1.3
Cory Joseph,IND,27,75,45,30,25.3,6.6,2.8,6.7,41.9,0.7,2.1,32.9,0.3,0.5,66.7,0.5,3,3.4,3.8,1,1.1,0.3,1.6,19.7,1,0,2.9
Evan Turner,POR,30,66,42,24,22.2,6.6,2.8,6.2,45.1,0.1,0.7,15.2,0.9,1.3,69.7,0.5,3.8,4.3,3.7,1.6,0.5,0.2,1.6,17.9,1,0,0.2
Justin Jackson,DAL,24,74,32,42,19.3,6.6,2.4,5.7,43.1,1,2.9,33.9,0.7,0.9,78.5,0.5,2.1,2.5,1.1,0.4,0.4,0.2,1.1,12.7,0,0,-1
MarShon Brooks,MEM,30,29,15,14,13.3,6.6,2.6,5.8,45,0.5,1.9,27.8,0.8,1.1,69.7,0.4,1.1,1.6,0.9,0.7,0.3,0.1,1.1,10.3,0,0,-0.8
Chandler Parsons,MEM,30,19,9,10,18.9,6.5,2.5,6.6,37.3,1,3.7,27.1,0.6,0.7,84.6,0.2,2.7,2.8,1.5,1.2,0.8,0.2,1.8,13.8,0,0,-0.8
Zach Collins,POR,21,69,45,24,17.6,6.5,2.4,5.1,46.5,0.5,1.6,31.8,1.2,1.6,75.2,1.4,2.8,4.2,1,0.9,0.3,0.8,2.4,15.5,0,0,-0.1
Dirk Nowitzki,DAL,40,44,13,31,14.3,6.5,2.3,6.3,36.7,1.2,3.7,32.1,0.7,1,76.2,0.1,2.3,2.4,0.6,0.3,0.2,0.3,1.5,11.5,0,0,-1.6
Mike Muscala,LAL,27,58,32,26,19.7,6.5,2.1,5.3,38.4,1.3,3.8,32.7,1.1,1.4,81.5,0.9,2.8,3.7,1.2,0.7,0.3,0.6,2.1,14.5,1,0,0.3
Brandon Knight,CLE,27,33,17,16,17.1,6.5,2.4,6.2,38.8,1,3.2,31.8,0.6,0.8,80,0.2,1.2,1.3,1.8,0.7,0.5,0,1.4,11.7,0,0,-3
Pat Connaughton,MIL,26,55,40,15,19.9,6.5,2.5,5.4,45.8,1.1,3.2,33.3,0.4,0.6,71.9,0.9,3.1,3.9,2,0.5,0.5,0.4,1.3,16.4,0,0,2.7
Dwayne Bacon,CHA,23,35,16,19,15.4,6.4,2.4,5.1,46.9,0.8,1.5,50,0.8,1.2,70.7,0.2,1.9,2.1,1,0.4,0.3,0.1,1.5,11.1,0,0,0.7
CJ Miles,MEM,32,53,33,20,16.2,6.4,2.1,5.9,36,1.3,3.8,33,0.9,1.1,82.8,0.2,1.5,1.8,0.7,0.6,0.5,0.3,1.5,11.3,0,0,-0.3
Jamal Crawford,PHX,39,59,11,48,17.8,6.4,2.2,6.1,36.1,0.8,2.8,29.1,1.2,1.4,83.1,0.1,1.1,1.2,3.4,1.5,0.5,0.2,1.2,13.3,0,0,-5.9
Ryan Arcidiacono,CHI,25,75,21,54,24.3,6.3,2.2,4.9,44.3,1,2.7,37.3,1,1.2,86.2,0.3,2.3,2.6,3.3,0.8,0.8,0.1,2.1,16.3,0,0,-2.5
Tyus Jones,MIN,22,60,26,34,21.9,6.3,2.5,6.1,39.9,0.6,1.8,32.1,0.8,1,81.7,0.4,1.6,1.9,4.4,0.7,1.2,0.1,1.1,18.5,2,0,0.1
Alex Caruso,LAL,25,18,4,14,16.5,6.3,1.9,4.3,44.9,0.7,1.5,44.4,1.7,2.2,79.5,0.7,1.5,2.2,1.6,0.8,0.7,0.4,2.1,13.6,0,0,2.1
Omri Casspi,MEM,30,36,14,22,14.5,6.3,2.4,4.5,53.4,0.4,1.2,34.9,1.1,1.6,67.2,0.5,2.7,3.2,0.7,0.6,0.6,0.3,1,13,0,0,0.5
Jonas Jerebko,GSW,32,66,46,20,16.8,6.3,2.2,4.8,46.3,0.9,2.5,36.3,0.9,1.1,81.3,1,3.1,4.1,1.3,0.6,0.3,0.2,1.8,14.2,1,0,1.3
Jonathon Simmons,PHI,29,53,24,29,18.9,6.3,2.3,6.2,36.8,0.4,1.8,24.2,1.3,1.8,74.2,0.5,1.7,2.2,2.1,1.2,0.5,0.3,1.7,13.1,0,0,-3
Cameron Payne,CLE,24,40,7,33,17.8,6.3,2.4,5.6,43,0.6,2.1,29.8,0.8,1,80.5,0.3,1.5,1.8,2.7,1.1,0.7,0.2,1.6,14,0,0,-5.6
Mo Bamba,ORL,20,47,19,28,16.3,6.2,2.5,5.2,48.1,0.4,1.5,30,0.8,1.3,58.7,1.4,3.6,5,0.8,0.9,0.3,1.4,2.2,17.4,1,0,-5.1
T.J. McConnell,PHI,27,69,43,26,19.5,6.2,2.8,5.4,52,0.2,0.6,30,0.4,0.5,80,0.4,1.9,2.3,3.5,1.2,1.1,0.2,1.4,16.8,0,0,0
Troy Daniels,PHX,27,45,11,34,13.8,6.2,2.2,5.1,43.2,1.4,3.6,38.4,0.4,0.5,78.3,0.3,1.1,1.4,0.5,0.6,0.5,0.1,1.5,9.9,0,0,-1
Kevon Looney,GSW,23,72,50,22,19.1,6.2,2.7,4.2,62.8,0,0.1,10,0.9,1.4,61.2,2.5,2.9,5.4,1.6,0.7,0.5,0.7,2.7,18.1,1,0,3.9
Quinn Cook,GSW,26,66,43,23,13.7,6.2,2.5,5.6,44.4,1,2.6,38,0.3,0.3,77.3,0.3,1.8,2.1,1.5,0.6,0.3,0,1.2,11.3,0,0,-1.7
Wilson Chandler,LAC,31,45,32,13,23.6,6.1,2.3,5.4,42.6,1.2,3.1,37.9,0.3,0.4,72.2,1,3.2,4.2,1.7,0.9,0.6,0.4,2.4,15.8,0,0,3
Juancho Hernangomez,DEN,23,66,43,23,19.9,6.1,2,4.7,44,1,2.7,36.5,1,1.3,76.7,1,3,3.9,0.8,0.6,0.4,0.4,1.3,13.6,4,0,0.3
Shaquille Harrison,CHI,25,67,19,48,18.9,6.1,2.3,5.4,43.2,0.3,1.2,25.6,1.1,1.7,66.7,0.4,2.4,2.8,1.9,0.8,1.2,0.3,1.7,16.2,1,0,-3.3
Devin Harris,DAL,36,62,25,37,15.1,6,1.9,4.8,38.3,0.9,2.8,30.8,1.5,2,76,0.2,1.4,1.5,1.7,0.8,0.6,0.2,2,11.9,0,0,-1.4
Isaiah Canaan,MIL,27,30,10,20,20.9,6,2.1,5.5,39,1.1,3.2,35.4,0.6,0.8,79.2,0.2,1.7,1.9,2.8,1.2,0.5,0.1,1.7,13,0,0,-5.8
Sam Dekker,WAS,24,42,14,28,16.1,6,2.5,5.2,49.3,0.4,1.1,31.9,0.6,1,58.5,1,2.1,3.2,1,0.5,0.8,0.2,0.9,13.7,0,0,-0.8
Luke Kornet,NYK,23,39,6,33,15,6,1.9,5.4,36,1.3,3.7,36.1,0.8,0.9,81.1,0.5,1.8,2.3,1.1,0.5,0.6,0.6,0.8,13.4,0,0,-1.1
Tony Snell,MIL,27,74,55,19,17.6,6,2.2,4.9,45.2,1.1,2.8,39.7,0.5,0.6,88.1,0.4,1.7,2.1,0.9,0.3,0.4,0.2,1.2,11.4,0,0,2.3
Nik Stauskas,CLE,25,63,33,30,15.1,6,2,5,40.6,1,2.8,36.3,0.9,1,90,0.3,1.7,1.9,1.2,0.8,0.3,0.1,0.8,10.6,0,0,-3.5
Omari Spellman,ATL,21,46,15,31,17.5,5.9,2.1,5.3,40.2,1,2.8,34.4,0.7,1,71.1,1.6,2.7,4.2,1,0.7,0.6,0.5,1.5,15.2,4,0,-4.4
Kenrich Williams,NOP,24,41,16,25,22.7,5.9,2.3,6,38,1.1,3.3,32.8,0.3,0.4,64.7,1.1,3.6,4.8,1.6,0.8,0.9,0.3,2,16.9,1,0,-2.1
Matthew Dellavedova,CLE,28,48,20,28,16.9,5.9,2,5,40.5,0.9,2.7,33.8,0.9,1.1,80.8,0.1,1.5,1.6,3.8,1.4,0.3,0,1.6,13,0,0,-1.3
Furkan Korkmaz,PHI,21,46,29,17,14.2,5.8,2,5.1,40.2,1,3,33.1,0.8,0.9,83.3,0.3,1.9,2.3,1.1,0.5,0.6,0,1.3,11.7,0,0,1.1
Daniel Theis,BOS,26,60,34,26,13.9,5.8,2.3,4.1,55.3,0.4,1.1,41.3,0.9,1.2,73.6,1.4,2.2,3.5,1.1,0.6,0.3,0.6,2.5,13.9,1,0,2
Cheick Diallo,NOP,22,59,26,33,13.3,5.8,2.5,4.1,60.7,0,0.1,0,0.8,1.1,73.8,1.1,3.8,4.9,0.4,0.7,0.5,0.6,1.6,14.7,8,0,-0.8
Ed Davis,BKN,29,75,38,37,18.1,5.8,2.3,3.8,61.3,0,0,0,1.1,1.9,60.1,2.7,6,8.7,0.8,0.8,0.5,0.4,2.9,19.2,6,0,1.3
Jerryd Bayless,MIN,30,29,12,17,19.3,5.8,2.3,6.7,34.5,0.9,3,28.7,0.3,0.6,47.1,0.3,1.6,1.9,3.2,1,0.5,0.1,1.6,13.7,2,0,-4.4
Andre Iguodala,GSW,35,64,45,19,23.4,5.8,2.2,4.4,50,0.7,2.1,33.6,0.6,1,59.4,0.7,3.1,3.8,3.1,0.7,0.9,0.8,1.5,19.3,0,0,4.7
Christian Wood,NOP,23,16,12,4,8.1,5.8,2.1,3.4,60,0.3,0.8,41.7,1.3,2,65.6,0.6,1.9,2.4,0.3,0.4,0.4,0.4,0.5,11.2,0,0,-1.3
Jodie Meeks,TOR,31,4,3,1,8.5,5.8,2.3,4.5,50,1,2.5,40,0.3,0.3,100,0,1.3,1.3,1,0,0,0.3,0.8,9.5,0,0,-1.5
Meyers Leonard,POR,27,56,32,24,14.3,5.8,2.1,3.9,53.2,0.9,1.9,45.3,0.7,0.9,83.3,0.8,3,3.8,1.2,0.7,0.2,0.2,1.7,12.5,1,0,-1.3
Troy Williams,SAC,24,18,7,11,15.9,5.7,2.2,4.8,46,0.8,2.3,34.1,0.5,0.8,60,0.5,2.6,3.1,0.6,0.4,0.6,0.4,1.9,12.8,0,0,-2.4
Frank Ntilikina,NYK,20,43,9,34,21,5.7,2.2,6.6,33.7,0.8,2.7,28.7,0.5,0.7,76.7,0.3,1.7,2,2.8,1.3,0.7,0.3,2.4,14.1,0,0,-4.3
